//DATASET,,
//created,Wed, 25 Apr 2018 21:12:33 GMT
,,
//TRACE,Waveform,Input 1 
//SampledBand,,
#Time,Electrical Signal,
#(ns),(a.u.),
1.39,0.051496389,
1.3925,0.057885347,
1.395,0.063831059,
1.3975,0.068915692,
1.4,0.072711098,
1.4025,0.074881163,
1.405,0.075317583,
1.4075,0.074187031,
1.41,0.071845457,
1.4125,0.068808684,
1.415,0.065704942,
1.4175,0.063150452,
1.42,0.061591581,
1.4225,0.061154875,
1.425,0.06155219,
1.4275,0.06228047,
1.43,0.062879094,
1.4325,0.063080162,
1.435,0.062919497,
1.4375,0.062637095,
1.44,0.062479537,
1.4425,0.062563763,
1.445,0.062807598,
1.4475,0.063032175,
1.45,0.063131691,
1.4525,0.063095967,
1.455,0.063011032,
1.4575,0.062910557,
1.46,0.06275152,
1.4625,0.062525345,
1.465,0.062294866,
1.4675,0.062127178,
1.47,0.062049283,
1.4725,0.062013743,
1.475,0.062003072,
1.4775,0.062052092,
1.48,0.062189121,
1.4825,0.062387137,
1.485,0.062541334,
1.4875,0.062580295,
1.49,0.062544556,
1.4925,0.062487004,
1.495,0.062409746,
1.4975,0.062316223,
1.5,0.062268656,
1.5025,0.062295431,
1.505,0.062329199,
1.5075,0.062326597,
1.51,0.062322783,
1.5125,0.062349667,
1.515,0.062401693,
1.5175,0.062479565,
1.52,0.062575251,
1.5225,0.06267348,
1.525,0.062762165,
1.5275,0.062861804,
1.53,0.062988113,
1.5325,0.063086841,
1.535,0.063125448,
1.5375,0.063167153,
1.54,0.063278487,
1.5425,0.0634207,
1.545,0.063507525,
1.5475,0.063491112,
1.55,0.063421828,
1.5525,0.063355519,
1.555,0.063287208,
1.5575,0.063177813,
1.56,0.062986964,
1.5625,0.062720381,
1.565,0.062491249,
1.5675,0.062456058,
1.57,0.062658714,
1.5725,0.06293272,
1.575,0.063033854,
1.5775,0.062873784,
1.58,0.062570957,
1.5825,0.062390555,
1.585,0.062547428,
1.5875,0.063035332,
1.59,0.063636409,
1.5925,0.064061819,
1.595,0.064126661,
1.5975,0.063731146,
1.6,0.062860527,
1.6025,0.061681906,
1.605,0.060604113,
1.6075,0.060165332,
1.61,0.060862687,
1.6125,0.062898162,
1.615,0.066055628,
1.6175,0.069754788,
1.62,0.073183743,
1.6225,0.075530824,
1.625,0.076242517,
1.6275,0.075225458,
1.63,0.072774793,
1.6325,0.069353571,
1.635,0.065343421,
1.6375,0.060911777,
1.64,0.0560452,
1.6425,0.050687095,
1.645,0.044843095,
1.6475,0.038658731,
1.65,0.032394516,
1.6525,0.026382007,
1.655,0.021000307,
1.6575,0.016651535,
1.66,0.013664571,
1.6625,0.012126504,
1.665,0.011812571,
1.6675,0.012265202,
1.67,0.012920098,
1.6725,0.013279776,
1.675,0.013060155,
1.6775,0.012231988,
1.68,0.01099392,
1.6825,0.009724128,
1.685,0.008941565,
1.6875,0.009256881,
1.69,0.01126064,
1.6925,0.015310906,
1.695,0.021333733,
1.6975,0.028811985,
1.7,0.036994684,
1.7025,0.045062122,
1.705,0.052251845,
1.7075,0.058105168,
1.71,0.062471971,
1.7125,0.065353683,
1.715,0.066726258,
1.7175,0.066429416,
1.72,0.064209215,
1.7225,0.059967474,
1.725,0.053937434,
1.7275,0.046703267,
1.73,0.03904711,
1.7325,0.031683316,
1.735,0.025101229,
1.7375,0.019537506,
1.74,0.015043878,
1.7425,0.011588325,
1.745,0.009121837,
1.7475,0.007550907,
1.75,0.006665471,
1.7525,0.006160959,
1.755,0.005745902,
1.7575,0.005249629,
1.76,0.00463884,
1.7625,0.003980727,
1.765,0.003369542,
1.7675,0.002852499,
1.77,0.002425739,
1.7725,0.002078249,
1.775,0.001846574,
1.7775,0.001822367,
1.78,0.002069908,
1.7825,0.002530384,
1.785,0.003063197,
1.7875,0.003558572,
1.79,0.003997204,
1.7925,0.004454083,
1.795,0.005039708,
1.7975,0.005839945,
1.8,0.006863403,
1.8025,0.008063438,
1.805,0.009441004,
1.8075,0.011130819,
1.81,0.013344776,
1.8125,0.016178642,
1.815,0.019579678,
1.8175,0.023521799,
1.82,0.028087636,
1.8225,0.033347227,
1.825,0.039214478,
1.8275,0.045496873,
1.83,0.051963613,
1.8325,0.058314681,
1.835,0.064200972,
1.8375,0.06919829,
1.84,0.072879419,
1.8425,0.074945885,
1.845,0.075353173,
1.8475,0.074322251,
1.85,0.072177599,
1.8525,0.069294772,
1.855,0.066139212,
1.8575,0.063304635,
1.86,0.061368875,
1.8625,0.060656519,
1.865,0.061183216,
1.8675,0.062549612,
1.87,0.064053371,
1.8725,0.064991416,
1.875,0.064983544,
1.8775,0.0640668,
1.88,0.062619543,
1.8825,0.061137456,
1.885,0.060054342,
1.8875,0.059710634,
1.89,0.060394845,
1.8925,0.062200495,
1.895,0.06492463,
1.8975,0.068111264,
1.9,0.071165336,
1.9025,0.073514217,
1.905,0.074708608,
1.9075,0.074447755,
1.91,0.072605571,
1.9125,0.069288839,
1.915,0.064808463,
1.9175,0.059547302,
1.92,0.05380647,
1.9225,0.047776854,
1.925,0.041662919,
1.9275,0.035742549,
1.93,0.030302313,
1.9325,0.02552559,
1.935,0.021429906,
1.9375,0.017932486,
1.94,0.014941848,
1.9425,0.012424563,
1.945,0.010387683,
1.9475,0.008819625,
1.95,0.007645785,
1.9525,0.006718656,
1.955,0.005885633,
1.9575,0.005066866,
1.96,0.004280468,
1.9625,0.003595424,
1.965,0.003059185,
1.9675,0.00265939,
1.97,0.002345926,
1.9725,0.002083125,
1.975,0.001895984,
1.9775,0.001869672,
1.98,0.002077679,
1.9825,0.002504851,
1.985,0.003048426,
1.9875,0.003588358,
1.99,0.004074984,
1.9925,0.004568424,
1.995,0.005198093,
1.9975,0.006048923,
2,0.007119169,
2.0025,0.008354646,
2.005,0.009748262,
2.0075,0.011403489,
2.01,0.01347008,
2.0125,0.016073651,
2.015,0.019266821,
2.0175,0.023062781,
2.02,0.027519754,
2.0225,0.032719834,
2.025,0.038669843,
2.0275,0.04516278,
2.03,0.05181811,
2.0325,0.058245505,
2.035,0.064139304,
2.0375,0.069182096,
2.04,0.072957134,
2.0425,0.075126378,
2.045,0.075591528,
2.0475,0.074499567,
2.05,0.072180672,
2.0525,0.069106331,
2.055,0.065890256,
2.0575,0.063213263,
2.06,0.061590039,
2.0625,0.061130354,
2.065,0.061546958,
2.0675,0.062369449,
2.07,0.063178653,
2.0725,0.063693054,
2.075,0.063827218,
2.0775,0.063682922,
2.08,0.06339898,
2.0825,0.063112222,
2.085,0.062912292,
2.0875,0.062836013,
2.09,0.062885449,
2.0925,0.062959606,
2.095,0.062873748,
2.0975,0.062553165,
2.1,0.062121246,
2.1025,0.061821107,
2.105,0.061887168,
2.1075,0.062388384,
2.11,0.063139064,
2.1125,0.063815126,
2.115,0.06410861,
2.1175,0.063883217,
2.12,0.063162129,
2.1225,0.062090474,
2.125,0.061008702,
2.1275,0.060426605,
2.13,0.060886195,
2.1325,0.062737051,
2.135,0.065805701,
2.1375,0.069421318,
2.14,0.07268437,
2.1425,0.074823501,
2.145,0.075391829,
2.1475,0.074334666,
2.15,0.071908184,
2.1525,0.068515793,
2.155,0.064521068,
2.1575,0.060116931,
2.16,0.055337461,
2.1625,0.050115761,
2.165,0.044430355,
2.1675,0.038381083,
2.17,0.032203561,
2.1725,0.026257954,
2.175,0.020964413,
2.1775,0.016700214,
2.18,0.013692096,
2.1825,0.011957301,
2.185,0.011316854,
2.1875,0.011455237,
2.19,0.011975878,
2.1925,0.012469591,
2.195,0.012623385,
2.1975,0.012302776,
2.2,0.011583348,
2.2025,0.010764503,
2.205,0.010348025,
2.2075,0.01087829,
2.21,0.012711031,
2.2125,0.015848075,
2.215,0.019958313,
2.2175,0.024616849,
2.22,0.029555901,
2.2225,0.03473261,
2.225,0.040214738,
2.2275,0.046029994,
2.23,0.052103609,
2.2325,0.058236922,
2.235,0.064062463,
2.2375,0.069030263,
2.24,0.072469448,
2.2425,0.073933575,
2.245,0.073487551,
2.2475,0.07178459,
2.25,0.069843532,
2.2525,0.068607738,
2.255,0.068565899,
2.2575,0.069629155,
2.26,0.071285468,
2.2625,0.072853713,
2.265,0.073661133,
2.2675,0.073207251,
2.27,0.071291625,
2.2725,0.068081748,
2.275,0.064010998,
2.2775,0.059518917,
2.28,0.054804573,
2.2825,0.04979809,
2.285,0.044369153,
2.2875,0.038519175,
2.29,0.032442203,
2.2925,0.026511489,
2.295,0.021195004,
2.2975,0.016920391,
2.3,0.013927642,
2.3025,0.012202219,
2.305,0.011542227,
2.3075,0.011636589,
2.31,0.012114065,
2.3125,0.012584944,
2.315,0.01272566,
2.3175,0.012378885,
2.32,0.011627596,
2.3225,0.010795181,
2.325,0.010365518,
2.3275,0.010887445,
2.33,0.012747639,
2.3325,0.015941838,
2.335,0.020130123,
2.3375,0.024888701,
2.34,0.029917871,
2.3425,0.035070796,
2.345,0.040383791,
2.3475,0.045968127,
2.35,0.051830189,
2.3525,0.057800066,
2.355,0.063525727,
2.3575,0.068434772,
2.36,0.071866136,
2.3625,0.073392793,
2.365,0.073089344,
2.3675,0.07158502,
2.37,0.069856977,
2.3725,0.068774264,
2.375,0.068800162,
2.3775,0.069934043,
2.38,0.071758662,
2.3825,0.073576401,
2.385,0.07462948,
2.3875,0.074345383,
2.39,0.072485192,
2.3925,0.069241462,
2.395,0.065057927,
2.3975,0.060358459,
2.4,0.055338663,
2.4025,0.049954536,
2.405,0.044158855,
2.4075,0.038043411,
2.41,0.031830717,
2.4125,0.025841365,
2.415,0.02048659,
2.4175,0.016240153,
2.42,0.013449574,
2.4225,0.012146001,
2.425,0.012010903,
2.4275,0.012515024,
2.43,0.013125002,
2.4325,0.01342696,
2.435,0.013185926,
2.4375,0.012369019,
2.44,0.011145503,
2.4425,0.009842242,
2.445,0.008947481,
2.4475,0.009114555,
2.45,0.011064226,
2.4525,0.015309759,
2.455,0.021819319,
2.4575,0.029919366,
2.46,0.038504986,
2.4625,0.046457518,
2.465,0.053020249,
2.4675,0.057950534,
2.47,0.061464852,
2.4725,0.063904548,
2.475,0.06539417,
2.4775,0.065717166,
2.48,0.064388454,
2.4825,0.060976713,
2.485,0.055436468,
2.4875,0.04817844,
2.49,0.03995498,
2.4925,0.031651069,
2.495,0.024089417,
2.4975,0.017890092,
2.5,0.013405537,
2.5025,0.010745085,
2.505,0.009785433,
2.5075,0.01014208,
2.51,0.011181125,
2.5125,0.012213631,
2.515,0.012741606,
2.5175,0.012604194,
2.52,0.011950344,
2.5225,0.011136209,
2.525,0.01064472,
2.5275,0.011003484,
2.53,0.012623395,
2.5325,0.015602649,
2.535,0.019697866,
2.5375,0.024513112,
2.54,0.029681605,
2.5425,0.034990685,
2.545,0.040450345,
2.5475,0.046161835,
2.55,0.052122399,
2.5525,0.05814529,
2.555,0.063858441,
2.5575,0.068738929,
2.56,0.072168379,
2.5625,0.073738888,
2.565,0.073485958,
2.5675,0.071976104,
2.57,0.070141509,
2.5725,0.068854064,
2.575,0.068648926,
2.5775,0.069595244,
2.58,0.071339055,
2.5825,0.073160969,
2.585,0.074239955,
2.5875,0.073952789,
2.59,0.072098797,
2.5925,0.068919235,
2.595,0.064885457,
2.5975,0.060378312,
2.6,0.055550524,
2.6025,0.050378195,
2.605,0.044807229,
2.6075,0.038867603,
2.61,0.032736364,
2.6125,0.02671842,
2.615,0.021238918,
2.6175,0.016786283,
2.62,0.013751121,
2.6225,0.0122164,
2.625,0.011922638,
2.6275,0.012378379,
2.63,0.013019204,
2.6325,0.013361565,
2.635,0.013118806,
2.6375,0.012259715,
2.64,0.01098945,
2.6425,0.009703833,
2.645,0.008934463,
2.6475,0.009293198,
2.65,0.011380942,
2.6525,0.015526323,
2.655,0.021611699,
2.6575,0.029127945,
2.66,0.037283371,
2.6625,0.045232117,
2.665,0.052318939,
2.6675,0.058153783,
2.67,0.062558186,
2.6725,0.065418862,
2.675,0.066597639,
2.6775,0.065965495,
2.68,0.063430365,
2.6825,0.059031458,
2.685,0.053033008,
2.6875,0.045962595,
2.69,0.038480224,
2.6925,0.031207398,
2.695,0.024625954,
2.6975,0.019051715,
2.7,0.014627906,
2.7025,0.011337598,
2.705,0.009045353,
2.7075,0.007543916,
2.71,0.006605295,
2.7125,0.006002622,
2.715,0.005520714,
2.7175,0.005009909,
2.72,0.004420299,
2.7225,0.00377388,
2.725,0.003108718,
2.7275,0.002464843,
2.73,0.001889429,
2.7325,0.001423629,
2.735,0.001079012,
2.7375,0.00084506,
2.74,0.000711223,
2.7425,0.00067261,
2.745,0.000711521,
2.7475,0.000784785,
2.75,0.000852587,
2.7525,0.000900453,
2.755,0.000928111,
2.7575,0.000929249,
2.76,0.000893702,
2.7625,0.00083146,
2.765,0.000770983,
2.7675,0.000727095,
2.77,0.000704494,
2.7725,0.000733121,
2.775,0.000877709,
2.7775,0.001192548,
2.78,0.001679493,
2.7825,0.002291949,
2.785,0.002973428,
2.7875,0.003659847,
2.79,0.004280741,
2.7925,0.004790922,
2.795,0.005208875,
2.7975,0.005598172,
2.8,0.006020815,
2.8025,0.006581066,
2.805,0.007503619,
2.8075,0.00913558,
2.81,0.011851104,
2.8125,0.015899105,
2.815,0.021349026,
2.8175,0.028042694,
2.82,0.035518795,
2.8225,0.043088571,
2.825,0.050047235,
2.8275,0.055912647,
2.83,0.060510563,
2.8325,0.063824165,
2.835,0.065771454,
2.8375,0.066106603,
2.84,0.064508009,
2.8425,0.060794323,
2.845,0.055075122,
2.8475,0.047813754,
2.85,0.039710589,
2.8525,0.031532484,
2.855,0.024017826,
2.8575,0.01783107,
2.86,0.013468047,
2.8625,0.011120487,
2.865,0.010563683,
2.8675,0.011185297,
2.87,0.012210229,
2.8725,0.012970751,
2.875,0.013081208,
2.8775,0.012472553,
2.88,0.011334018,
2.8825,0.010045349,
2.885,0.009126136,
2.8875,0.009216768,
2.89,0.010982427,
2.8925,0.014914391,
2.895,0.021096907,
2.8975,0.028986534,
2.9,0.037507793,
2.9025,0.045481728,
2.905,0.052104261,
2.9075,0.057185844,
2.91,0.060990614,
2.9125,0.063831268,
2.915,0.065711564,
2.9175,0.066241261,
2.92,0.064871807,
2.9225,0.061272815,
2.925,0.055522317,
2.9275,0.048114974,
2.93,0.039813234,
2.9325,0.031472612,
2.935,0.023888419,
2.9375,0.017704317,
2.94,0.01335301,
2.9425,0.010982764,
2.945,0.010396895,
2.9475,0.011028829,
2.95,0.012119134,
2.9525,0.01296245,
2.955,0.013131519,
2.9575,0.012560611,
2.96,0.011482343,
2.9625,0.010309163,
2.965,0.009581594,
2.9675,0.009925961,
2.97,0.011919535,
2.9725,0.015946322,
2.975,0.022031894,
2.9775,0.029665255,
2.98,0.037922533,
