//DATASET,,
//created,Wed, 25 Apr 2018 21:12:06 GMT
,,
//TRACE,Waveform,Input 1 
//SampledBand,,
#Time,Power,
#(ns),(mW),
0.6625,0.001074945,
0.665,0.001006122,
0.6675,0.001040211,
0.67,0.001677574,
0.6725,0.007132163,
0.675,0.068040675,
0.6775,0.313570119,
0.68,0.701430512,
0.6825,0.939735084,
0.685,0.991933135,
0.6875,0.998839655,
0.69,0.99895794,
0.6925,0.998983178,
0.695,0.998980201,
0.6975,0.998974207,
0.7,0.998998467,
0.7025,0.998978811,
0.705,0.99897907,
0.7075,0.998925486,
0.71,0.998803456,
0.7125,0.99262281,
0.715,0.940374298,
0.7175,0.691386126,
0.72,0.296962768,
0.7225,0.065045876,
0.725,0.006917637,
0.7275,0.00169664,
0.73,0.001020178,
0.7325,0.001003395,
0.735,0.00100164,
0.7375,0.001009834,
0.74,0.001244799,
0.7425,0.001001684,
0.745,0.001001667,
0.7475,0.001027045,
0.75,0.001031363,
0.7525,0.001010709,
0.755,0.0010716,
0.7575,0.001002465,
0.76,0.001057394,
0.7625,0.001138032,
0.765,0.001001211,
0.7675,0.001020993,
0.77,0.001003947,
0.7725,0.0010267,
0.775,0.001030151,
0.7775,0.001003827,
0.78,0.001101191,
0.7825,0.001093769,
0.785,0.001295059,
0.7875,0.001004374,
0.79,0.001220684,
0.7925,0.008024975,
0.795,0.064700076,
0.7975,0.303033926,
0.8,0.688906077,
0.8025,0.93581002,
0.805,0.991604977,
0.8075,0.998305925,
0.81,0.998966573,
0.8125,0.998970266,
0.815,0.998911742,
0.8175,0.998994734,
0.82,0.998891717,
0.8225,0.998997686,
0.825,0.998998935,
0.8275,0.998938298,
0.83,0.998973674,
0.8325,0.998993347,
0.835,0.998941623,
0.8375,0.998878207,
0.84,0.998968012,
0.8425,0.998991336,
0.845,0.998998451,
0.8475,0.998930374,
0.85,0.998977511,
0.8525,0.998998702,
0.855,0.998996506,
0.8575,0.998944751,
0.86,0.99891749,
0.8625,0.998994739,
0.865,0.998838569,
0.8675,0.998937745,
0.87,0.998965135,
0.8725,0.998989278,
0.875,0.998940153,
0.8775,0.998969718,
0.88,0.998997524,
0.8825,0.998962776,
0.885,0.998976003,
0.8875,0.998940663,
0.89,0.9989678,
0.8925,0.998983899,
0.895,0.998943642,
0.8975,0.998957073,
0.9,0.998991649,
0.9025,0.998989527,
0.905,0.998901772,
0.9075,0.998986351,
0.91,0.99894962,
0.9125,0.998997982,
0.915,0.998981928,
0.9175,0.998963668,
0.92,0.998938034,
0.9225,0.998982812,
0.925,0.998940593,
0.9275,0.998998259,
0.93,0.998997699,
0.9325,0.998882339,
0.935,0.998998863,
0.9375,0.998875658,
0.94,0.998982765,
0.9425,0.998993871,
0.945,0.998997146,
0.9475,0.99893132,
0.95,0.998988451,
0.9525,0.998995659,
0.955,0.998981134,
0.9575,0.998969878,
0.96,0.998926286,
0.9625,0.998997899,
0.965,0.998998998,
0.9675,0.998947268,
0.97,0.998910743,
0.9725,0.998998345,
0.975,0.998980668,
0.9775,0.998963193,
0.98,0.998980318,
0.9825,0.998992651,
0.985,0.998944373,
0.9875,0.998939422,
0.99,0.998980642,
0.9925,0.998938785,
0.995,0.998961522,
0.9975,0.998994419,
1,0.998932767,
1.0025,0.998998694,
1.005,0.998997399,
1.0075,0.998970016,
1.01,0.998984086,
1.0125,0.998989367,
1.015,0.998905856,
1.0175,0.998957814,
1.02,0.998914659,
1.0225,0.998758,
1.025,0.998952454,
1.0275,0.998901698,
1.03,0.998618743,
1.0325,0.9928757,
1.035,0.936636917,
1.0375,0.693755859,
1.04,0.302586029,
1.0425,0.069342995,
1.045,0.006347246,
1.0475,0.001229444,
1.05,0.001020998,
1.0525,0.001034733,
1.055,0.001027523,
1.0575,0.00103361,
1.06,0.001037404,
1.0625,0.001007455,
1.065,0.00100119,
1.0675,0.001025787,
1.07,0.001039025,
1.0725,0.001016928,
1.075,0.001008788,
1.0775,0.001008258,
1.08,0.001001518,
1.0825,0.001110091,
1.085,0.001001036,
1.0875,0.001001352,
1.09,0.001005157,
1.0925,0.001123222,
1.095,0.001001147,
1.0975,0.001018834,
1.1,0.001250043,
1.1025,0.001006329,
1.105,0.001107918,
1.1075,0.001001002,
1.11,0.001012846,
1.1125,0.00111752,
1.115,0.001004992,
1.1175,0.001163435,
1.12,0.001064396,
1.1225,0.001087078,
1.125,0.001002642,
1.1275,0.001033361,
1.13,0.001033832,
1.1325,0.001001186,
1.135,0.001012881,
1.1375,0.001031063,
1.14,0.001031078,
1.1425,0.001005857,
1.145,0.001015588,
1.1475,0.001247099,
1.15,0.001827116,
1.1525,0.007531915,
1.155,0.062462642,
1.1575,0.315797729,
1.16,0.709982321,
1.1625,0.935938336,
1.165,0.991279356,
1.1675,0.998796388,
1.17,0.998913384,
1.1725,0.99896996,
1.175,0.9989853,
1.1775,0.998963958,
1.18,0.998902038,
1.1825,0.998982834,
1.185,0.998978433,
1.1875,0.998989733,
1.19,0.998883485,
1.1925,0.99208647,
1.195,0.931901496,
1.1975,0.690527389,
1.2,0.303408702,
1.2025,0.070125362,
1.205,0.009430822,
1.2075,0.001126142,
1.21,0.001003298,
1.2125,0.001028668,
1.215,0.001021743,
1.2175,0.001004318,
1.22,0.001216839,
1.2225,0.001137412,
1.225,0.001084766,
1.2275,0.001054118,
1.23,0.001016406,
1.2325,0.001027621,
1.235,0.001009734,
1.2375,0.001054542,
1.24,0.001061289,
1.2425,0.001010906,
1.245,0.001082425,
1.2475,0.001121171,
1.25,0.001092733,
1.2525,0.001019386,
1.255,0.001013019,
1.2575,0.001034351,
1.26,0.001004238,
1.2625,0.001003473,
1.265,0.001004469,
1.2675,0.001001103,
1.27,0.001002923,
1.2725,0.001011683,
1.275,0.001201745,
1.2775,0.001053044,
1.28,0.001037412,
1.2825,0.001023499,
1.285,0.001022742,
1.2875,0.001022963,
1.29,0.001001023,
1.2925,0.001030767,
1.295,0.00108269,
1.2975,0.001091148,
1.3,0.001008715,
1.3025,0.001005096,
1.305,0.001025325,
1.3075,0.001024926,
1.31,0.001016317,
1.3125,0.001174914,
1.315,0.001091736,
1.3175,0.001081569,
1.32,0.001116156,
1.3225,0.00102429,
1.325,0.001004111,
1.3275,0.001076167,
1.33,0.001012794,
1.3325,0.001056958,
1.335,0.0010013,
1.3375,0.001021358,
1.34,0.001007313,
1.3425,0.001025096,
1.345,0.001075027,
1.3475,0.001022679,
1.35,0.001307017,
1.3525,0.007059931,
1.355,0.068332686,
1.3575,0.30412882,
1.36,0.694732341,
1.3625,0.931920326,
1.365,0.990757619,
1.3675,0.998906541,
1.37,0.998970715,
1.3725,0.998997015,
1.375,0.998995605,
1.3775,0.998998827,
1.38,0.998995602,
1.3825,0.998927188,
1.385,0.998996883,
1.3875,0.998994448,
1.39,0.998923001,
1.3925,0.998998983,
1.395,0.998993562,
1.3975,0.998989976,
1.4,0.998934173,
1.4025,0.998997761,
1.405,0.998998774,
1.4075,0.998998874,
1.41,0.998990706,
1.4125,0.998886359,
1.415,0.998992196,
1.4175,0.998997866,
1.42,0.998976476,
1.4225,0.998997916,
1.425,0.998996306,
1.4275,0.998993276,
1.43,0.998988543,
1.4325,0.998941235,
1.435,0.998998892,
1.4375,0.998972298,
1.44,0.998964573,
1.4425,0.998998997,
1.445,0.998989513,
1.4475,0.998980202,
1.45,0.998996005,
1.4525,0.998990666,
1.455,0.998978485,
1.4575,0.998983431,
1.46,0.998996594,
1.4625,0.998948973,
1.465,0.998942923,
1.4675,0.998990202,
1.47,0.998894963,
1.4725,0.998994999,
1.475,0.99899007,
1.4775,0.998973141,
1.48,0.998962983,
1.4825,0.99899456,
1.485,0.998828549,
1.4875,0.99888744,
