//DATASET,
//created,Wed, 25 Apr 2018 21:19:06 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,"Electrical Signal"
#(ns),(a.u.)
1.16,0.00384314379120208
1.1625,0.00382639629002347
1.165,0.00382949235315765
1.1675,0.0038433846358976
1.17,0.00385411516313958
1.1725,0.00386170448630553
1.175,0.00388295293336421
1.1775,0.00393621003751462
1.18,0.00401051701403702
1.1825,0.00406276759925925
1.185,0.00404373041424771
1.1875,0.00392739604921518
1.19,0.00373917006688164
1.1925,0.00357593499173407
1.195,0.00360635599136711
1.1975,0.00404443426343332
1.2,0.00510117994875849
1.2025,0.00697052982245826
1.205,0.0098461314328005
1.2075,0.0139502400968738
1.21,0.0195460788880013
1.2125,0.0268528703564747
1.215,0.0359181574623681
1.2175,0.0463919495339529
1.22,0.0574879025076012
1.2225,0.0681662483282705
1.225,0.0773424977644162
1.2275,0.0841189037436757
1.23,0.0881984932104471
1.2325,0.0899434577322794
1.235,0.0900432067786939
1.2375,0.089157105629228
1.24,0.0878161326802974
1.2425,0.0863853189720275
1.245,0.0850975718931093
1.2475,0.0841651523790989
1.25,0.0837209715430226
1.2525,0.0837698882212908
1.255,0.0840829866351092
1.2575,0.0843150227830361
1.26,0.0843267261683864
1.2625,0.0843048176647596
1.265,0.0846072107208325
1.2675,0.0855669000826517
1.27,0.0872013789632955
1.2725,0.0890901010414287
1.275,0.0904238319267851
1.2775,0.0903246171070302
1.28,0.0881513502319157
1.2825,0.0836402916652809
1.285,0.0769012331703776
1.2875,0.0683811689653678
1.29,0.0587426958917562
1.2925,0.048723679971168
1.295,0.0390111777741447
1.2975,0.030137789197392
1.3,0.0224609567939645
1.3025,0.0161715752900369
1.305,0.0112905923108668
1.3075,0.00770516709957517
1.31,0.0052339509619442
1.3125,0.0037186932720246
1.315,0.00305923750381443
1.3175,0.00321007698560209
1.32,0.00416644077037521
1.3225,0.00598922661061627
1.325,0.0088393815263686
1.3275,0.0129535450072807
1.33,0.0185768019578749
1.3325,0.0259038120583676
1.335,0.034943331738455
1.3375,0.0452989633746995
1.34,0.0561890977058385
1.3425,0.0665475995800416
1.345,0.0752723114022345
1.3475,0.0815870539569171
1.35,0.0853518948080747
1.3525,0.0870434674926694
1.355,0.0874395809298891
1.3575,0.0871808714904325
1.36,0.0866207850596909
1.3625,0.0859986169157346
1.365,0.0855044230587376
1.3675,0.0851932734388671
1.37,0.0850111529190408
1.3725,0.0848583372363447
1.375,0.0846949518738096
1.3775,0.0845714697329796
1.38,0.0846085733130233
1.3825,0.0848678376623113
1.385,0.0852357870726437
1.3875,0.0854577494338219
1.39,0.0852930859633738
1.3925,0.0846315516283389
1.395,0.083447615775613
1.3975,0.0818042465834265
1.4,0.0798891575499271
1.4025,0.0779330070661133
1.405,0.076161179838677
1.4075,0.0747768111810104
1.41,0.0739497113132107
1.4125,0.073640520012319
1.415,0.0735360042559445
1.4175,0.0731813476818208
1.42,0.0722624602102792
1.4225,0.0708360081364542
1.425,0.0693305714185529
1.4275,0.0683188688074438
1.43,0.0681194360565475
1.4325,0.0685536470450942
1.435,0.0689776047353196
1.4375,0.0685724055745395
1.44,0.0666854909825296
1.4425,0.0629996696521574
1.445,0.0575599095036826
1.4475,0.0507141341191797
1.45,0.0430112929982275
1.4525,0.0350903419802305
1.455,0.0275389713099162
1.4575,0.0208117030287484
1.46,0.0151899066441543
1.4625,0.0107809114966696
1.465,0.00752895173109713
1.4675,0.00527110634256209
1.47,0.00381681874240136
1.4725,0.00302750150230365
1.475,0.00283695812187337
1.4775,0.00326089304293103
1.48,0.00440809938935365
1.4825,0.00646273171683534
1.485,0.00962484869129551
1.4875,0.0140158755796346
1.49,0.0198104677582028
1.4925,0.0272563495683094
1.495,0.0364082164676302
1.4975,0.0467801427524612
1.5,0.0574343116926193
1.5025,0.0674234698437584
1.505,0.0760566617260225
1.5075,0.0829714716862086
1.51,0.0881548678793771
1.5125,0.0917735442155475
1.515,0.0938979132471242
1.5175,0.0942866636315184
1.52,0.0925373053953802
1.5225,0.088429626341159
1.525,0.0820728978561664
1.5275,0.073862258721209
1.53,0.0643798157882357
1.5325,0.0542948650591535
1.535,0.0442762278011372
1.5375,0.0348745644795933
1.54,0.0265052482947653
1.5425,0.0194429291086464
1.545,0.0138110286705496
1.5475,0.00957676883065272
1.55,0.00658861397111248
1.5525,0.00462290267809165
1.555,0.00346159554302724
1.5575,0.0029500814746644
1.56,0.00301517322128296
1.5625,0.00366216111548634
1.565,0.00495582318277265
1.5675,0.00705826347812597
1.57,0.0102513803326579
1.5725,0.0148145478687009
1.575,0.0208098789713766
1.5775,0.0279889854233914
1.58,0.0359507210399764
1.5825,0.0442993480276002
1.585,0.0525676578091223
1.5875,0.0601162498682829
1.59,0.066270674685098
1.5925,0.0705647577627196
1.595,0.0727686811768176
1.5975,0.0727373193732992
1.6,0.0703818434063027
1.6025,0.0658164632577387
1.605,0.0594320913830175
1.6075,0.0517957332648311
1.61,0.0435439332412767
1.6125,0.0352906412430162
1.615,0.0275609568192815
1.6175,0.0207510785904424
1.62,0.0151044393186328
1.6225,0.0107109626832746
1.625,0.00752634608215161
1.6275,0.00541188431169807
1.63,0.00416607404640948
1.6325,0.00355529346720355
1.635,0.00335843786146649
1.6375,0.00339039816331538
1.64,0.00352663594449591
1.6425,0.003701154379824
1.645,0.00387096733860849
1.6475,0.00401024408903829
1.65,0.00410624897271147
1.6525,0.00416185712142673
1.655,0.00418485955420248
1.6575,0.00417957292307535
1.66,0.00414561163218497
1.6625,0.00407834193712808
1.665,0.0039718395911458
1.6675,0.00383698484292318
1.67,0.00372457536342839
