//DATASET,
//created,Wed, 25 Apr 2018 21:18:42 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,Power
#(ns),(µW)
0.7425,705.403639757558
0.745,704.445045746177
0.7475,700.692991944137
0.75,683.34885749046
0.7525,634.943780453004
0.755,544.640766262573
0.7575,436.405398761971
0.76,358.320976352544
0.7625,325.733049593065
0.765,319.29962623841
0.7675,320.774474351041
0.77,322.684388538343
0.7725,322.587303751197
0.775,322.456446169369
0.7775,322.723824609329
0.78,323.108985679622
0.7825,322.568786131368
0.785,323.243835254307
0.7875,326.446916495059
0.79,343.799006820663
0.7925,397.726466072058
0.795,518.053063485072
0.7975,693.010001472446
0.8,846.600634954352
0.8025,928.542733636008
0.805,958.136472191132
0.8075,966.383290447124
0.81,968.115508520975
0.8125,968.377060268922
0.815,968.402842063754
0.8175,968.404600831559
0.82,968.404675034787
0.8225,968.402930692188
0.825,968.382947612526
0.8275,968.188498368496
0.83,966.942594965696
0.8325,961.428765105538
0.835,943.665675327768
0.8375,902.070496846646
0.84,835.760891158974
0.8425,769.179828139836
0.845,727.84129661907
0.8475,710.710818400404
0.85,706.146110267825
0.8525,705.286703454439
0.855,705.377680765549
0.8575,705.482034634694
0.86,705.128117343003
0.8625,705.161933033157
0.865,705.070173473422
0.8675,702.877489162306
0.87,693.062044398052
0.8725,663.641026553089
0.875,600.908331818951
0.8775,508.845516345726
0.88,419.683687864397
0.8825,360.473552933826
0.885,333.269219856624
0.8875,324.694319832877
0.89,322.862896792485
0.8925,322.959856481514
0.895,322.811068703801
0.8975,322.584307931562
0.9,322.856849306165
0.9025,322.212433204528
0.905,322.674241561914
0.9075,324.323981017967
0.91,333.409278577338
0.9125,368.957076190457
0.915,462.520628612104
0.9175,628.110679164986
0.92,804.662804642274
0.9225,912.215793533167
0.925,953.67338457228
0.9275,965.437231853554
0.93,967.968738615499
0.9325,968.360309136868
0.935,968.401726305326
0.9375,968.404526106591
0.94,968.404637446588
0.9425,968.402362120128
0.945,968.368162200006
0.9475,968.02159430375
0.95,965.764425360074
0.9525,955.280565890837
0.955,917.976030587899
0.9575,819.480737645156
0.96,650.785049750857
0.9625,482.17717656535
0.965,378.941741850126
0.9675,337.446787284474
0.97,325.255464118691
0.9725,323.039841465696
0.975,322.726359391356
0.9775,322.785952409525
0.98,322.484572954941
0.9825,322.747909863789
0.985,321.855122559977
0.9875,320.886776834903
0.99,313.659574276248
0.9925,290.992684304553
0.995,241.914783387551
0.9975,171.58059337158
1,106.798684077267
1.0025,67.4874637861259
1.005,50.9172959737957
1.0075,45.8936577634445
1.01,44.6537080571977
1.0125,44.3651737150226
1.015,44.3672199247798
1.0175,44.6928017087124
1.02,44.4599567488311
1.0225,44.4592747051304
1.025,44.8841568869699
1.0275,44.7970394051292
1.03,47.135347281082
1.0325,57.8574685749325
1.035,94.6422695660116
1.0375,190.198770095396
1.04,356.78481525972
1.0425,530.524674153836
1.045,640.857316302425
1.0475,687.807186910903
1.05,701.946113180552
1.0525,705.006478450842
1.055,705.154186873615
1.0575,705.240912205427
1.06,705.338995940099
1.0625,705.234396336209
1.065,704.794353755696
1.0675,703.194001975346
1.07,693.025034431948
1.0725,656.38763675001
1.075,560.068228560944
1.0775,392.660125221852
1.08,214.405734077653
1.0825,104.231899906074
1.085,60.468227462164
1.0875,47.8232363693674
1.09,44.9798982597905
1.0925,44.4961842993056
1.095,44.5574115913836
1.0975,44.2250816594784
1.1,44.4393437801222
1.1025,44.5464389106577
1.105,44.5289080355302
1.1075,44.3643738749945
1.11,44.4656125192005
1.1125,44.5563745349097
1.115,44.5489177705011
1.1175,44.4185450198128
1.12,44.4919223694793
1.1225,44.6845437577201
1.125,44.4396153193778
1.1275,44.5431816274564
1.13,44.6564210822164
1.1325,44.5496982333227
1.135,44.7959277773709
1.1375,44.5257174832989
1.14,44.4754897854768
1.1425,44.6002425961787
1.145,44.6169887676735
1.1475,44.6789631151503
1.15,44.6135498061785
1.1525,44.8049361415557
1.155,44.4825573608844
1.1575,44.5370866763214
1.16,44.342329959408
1.1625,44.5599679939918
1.165,44.4182668132329
1.1675,44.4786907048981
1.17,44.6801244454106
1.1725,44.6762247447682
1.175,44.5037425415205
1.1775,44.495836169157
1.18,44.6857687160813
1.1825,44.5706583400154
1.185,44.7359645222866
1.1875,45.4319601860808
1.19,50.2481629805769
1.1925,73.087069742265
1.195,154.102394457551
1.1975,360.888822915045
1.2,653.543762879003
1.2025,859.85370379268
1.205,940.580412583154
1.2075,962.638972404189
1.21,967.4928444186
1.2125,968.305591116926
1.215,968.396689039255
1.2175,968.404305921588
1.22,968.404695199777
1.2225,968.404736305657
1.225,968.404730180124
1.2275,968.404730565884
1.23,968.404730623066
1.2325,968.404730625601
1.235,968.404730625575
1.2375,968.404730626418
1.24,968.404730628697
1.2425,968.40473062844
1.245,968.404730629368
1.2475,968.404730629374
1.25,968.404730484372
1.2525,968.404730312649
1.255,968.404726960244
1.2575,968.404685087482
1.26,968.403557398738
1.2625,968.389236182668
1.265,968.230996770198
1.2675,967.041837563273
1.27,960.521937281809
1.2725,932.974249805675
1.275,838.519921378537
1.2775,616.326490763607
1.28,328.329401879719
1.2825,140.067915370666
1.285,68.6581853107974
1.2875,49.2134705817688
1.29,45.4690863340877
1.2925,44.868380603272
1.295,44.6119068739956
1.2975,44.626503868252
1.3,44.3778796574494
1.3025,44.4970622208902
1.305,44.6518029138034
1.3075,45.2522202609099
1.31,49.1266856537374
1.3125,69.065141270925
1.315,140.944518884259
1.3175,330.012253079848
1.32,618.106276170775
1.3225,839.755376522
1.325,933.386621191602
1.3275,960.663007051197
1.33,967.062673550062
1.3325,968.233159651635
1.335,968.389484401711
1.3375,968.40413454842
1.34,968.404661396562
1.3425,968.404732685257
1.345,968.404730512918
1.3475,968.404730442022
1.35,968.404730630919
1.3525,968.404730627358
1.355,968.40473062731
1.3575,968.404730623742
1.36,968.40473062618
1.3625,968.404730628228
1.365,968.404730625792
1.3675,968.404730619536
1.37,968.404730582308
1.3725,968.404729897242
1.375,968.404733234798
1.3775,968.404692240149
1.38,968.404123094139
1.3825,968.396867544272
1.385,968.315492934821
1.3875,967.75515079098
1.39,965.031700659213
1.3925,955.310159977364
1.395,929.264195010557
1.3975,877.725826385818
1.4,808.944841579331
1.4025,750.61178842048
1.405,719.202131133541
1.4075,708.234469502702
1.41,705.711412767559
1.4125,705.496382631548
1.415,705.48906040351
1.4175,705.086452692638
1.42,705.455459445145
1.4225,705.467755001322
1.425,705.105773571344
1.4275,704.205760807411
1.43,697.427261503253
1.4325,669.328978391746
1.435,587.515579298629
1.4375,428.984743704085
1.44,243.423808876458
1.4425,117.836764223203
1.445,65.190768401188
1.4475,49.0184740763243
1.45,45.2646631668389
1.4525,44.631980829729
1.455,44.4003925807204
1.4575,44.590126987417
1.46,44.5718139658739
1.4625,44.3873825392739
1.465,44.7888976069791
1.4675,45.4813760118937
1.47,50.2517423999398
1.4725,72.4527387778465
1.475,151.755073796554
1.4775,353.418944315077
1.48,643.773291990425
1.4825,853.847340626343
1.485,938.294008647763
1.4875,961.988558204691
1.49,967.342279459677
1.4925,968.275961396955
1.495,968.395135804917
1.4975,968.40402336411
1.5,968.404559772085
1.5025,968.402200076751
1.505,968.360526413
1.5075,967.95454022711
1.51,965.219354131032
1.5125,951.949126028961
1.515,900.981848767923
1.5175,752.592279473844
1.52,485.46235839525
1.5225,232.953906331679
1.525,102.368118386856
1.5275,58.5502334060092
1.53,47.2745343638279
1.5325,45.0577595899235
1.535,44.5208349727817
1.5375,44.4902535754288
1.54,44.6354145721146
1.5425,44.2547439838505
1.545,44.5411258509968
1.5475,44.7890356370705
1.55,47.1836259511957
1.5525,56.7791213391573
1.555,90.9892819613493
1.5575,181.616083987556
1.56,343.692550735653
1.5625,519.140029761212
1.565,634.979796806488
1.5675,685.854149096725
1.57,701.328955086276
1.5725,704.896112323463
1.575,704.920354715375
1.5775,705.252643284228
1.58,705.169412753768
1.5825,705.334341995126
1.585,705.288266614402
1.5875,704.122501489429
1.59,697.801731151957
1.5925,670.656603997907
1.595,591.195986741921
1.5975,435.69194604488
1.6,250.388859633445
1.6025,122.420932557223
1.605,67.0277303445215
1.6075,49.7629554150634
1.61,45.341102008532
1.6125,44.8615449645032
1.615,44.6985325483799
1.6175,44.4633119683829
1.62,44.5563949902561
1.6225,44.4725051712511
1.625,44.4784941919295
1.6275,44.6960990117771
1.63,44.3633755754923
1.6325,44.4631352043266
1.635,44.4556753036427
1.6375,44.6013667813943
1.64,44.5484017044999
1.6425,44.4292759743499
1.645,44.5581571509439
1.6475,44.5362584191079
1.65,44.6940864920934
1.6525,44.3516583575595
1.655,44.647900513736
1.6575,44.5945206739235
1.66,44.5624458596371
1.6625,44.3333776906248
1.665,44.5712112306058
1.6675,44.6477551350881
1.67,45.9794135746568
1.6725,51.8790128337785
1.675,71.1834804235179
1.6775,114.340108657682
1.68,182.535887014551
1.6825,252.877762319071
1.685,297.58199907099
1.6875,315.939172322318
1.69,321.148687795674
1.6925,322.061196515173
1.695,322.763187212271
1.6975,322.302571531549
1.7,322.762206541432
1.7025,322.802001409859
1.705,322.463657870263
1.7075,324.995818656254
1.71,336.626505862142
1.7125,377.242969454257
1.715,478.566842467909
1.7175,646.897730976261
1.72,816.832471717642
1.7225,916.976661126276
1.725,954.997461821513
1.7275,965.709299031131
1.73,968.005856299186
1.7325,968.364806353988
1.735,968.401821764179
1.7375,968.404587487705
1.74,968.403256680305
1.7425,968.377074900752
1.745,968.118566804709
1.7475,966.314822430574
1.75,957.212255615968
1.7525,920.838329632912
1.755,805.69014131635
1.7575,564.075285658551
1.76,289.000983988973
1.7625,124.654500188484
1.765,64.4666971533604
1.7675,48.6161204632818
1.77,45.2463807764855
1.7725,44.5837008805001
1.775,44.5329425469524
1.7775,44.6692228650006
1.78,44.3939443659286
1.7825,44.3468023300988
1.785,44.7775416801407
1.7875,45.2757344850641
1.79,48.7658200090309
1.7925,65.885596504628
1.795,129.08585934479
1.7975,300.647627971291
1.8,580.098451732924
1.8025,816.004643430527
1.805,924.551092609671
1.8075,958.201207973794
1.81,966.53941453242
1.8125,968.154353745661
1.815,968.380844228184
1.8175,968.402835395859
1.82,968.403747769823
1.8225,968.389795292487
1.825,968.236272583015
1.8275,967.072588688634
1.83,960.739990672761
1.8325,934.044402397962
1.835,843.005511622764
1.8375,627.276692105991
1.84,341.702471171382
1.8425,148.069998902204
1.845,71.8345408743314
1.8475,50.4404588879056
1.85,45.4839709804237
1.8525,44.7841539314908
1.855,44.6757335441233
1.8575,44.6148882113764
1.86,44.5490889642719
1.8625,44.7310869411982
1.865,44.7947404058441
1.8675,45.1675292247482
1.87,47.1668181067294
1.8725,56.2359555123167
1.875,81.4846733112424
1.8775,133.291691382804
1.88,206.280365917086
1.8825,270.383592624012
1.885,306.233723657315
1.8875,319.061505185562
1.89,321.970799003845
1.8925,322.817996101634
1.895,322.862393960254
1.8975,322.984005049945
1.9,322.317775509121
1.9025,322.810883718742
1.905,322.744892349233
1.9075,322.770429759017
1.91,322.727342355287
1.9125,322.715947279317
1.915,322.39413943809
1.9175,322.717156441311
1.92,322.537611580629
1.9225,322.574157743125
1.925,322.216033557441
1.9275,322.653663619958
1.93,322.587591249952
1.9325,322.813102819007
1.935,322.531692020957
1.9375,322.638110838263
1.94,322.30338907224
1.9425,322.985012377677
1.945,322.271257012179
1.9475,322.592171924036
1.95,322.435546700111
1.9525,322.662405437387
1.955,322.553312803808
1.9575,322.428034942425
1.96,322.449706294954
1.9625,322.567543245953
1.965,322.389345212884
1.9675,322.7928674127
1.97,322.631080678687
1.9725,322.586108806073
